ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	WarehouseCode	AccountCode	LineTotal
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	WhsCode	AcctCode	LineTotal
2	59	TAP40A BK	CAJA ACTIVA AIRPORT-SERIE 4 40W NEGRO X 2P	5	71.44	201	_SYS00000005053	357.20
2	60	ALTEA-715A	CAJA ACTIVA ALTEA-SERIE 15 PULG. 1500W	2	377.61	201	_SYS00000005053	755.22
2	61	ALTEA-415A	CAJA ACTIVA ALTEA-SERIE 15 PULG. 800W	1	305.96	201	_SYS00000005053	305.96
2	62	DM115	CAJA ACTIVA DARK-SERIE 15 600W - Oferta	1	254.24	201	_SYS00000005053	254.24
2	63	ACTION215A 115V	CAJA ACTIVA DOBLE ACTION-SERIE 15 PULG. 1000W - Oferta	2	666.71	201	_SYS00000005053	1333.42
2	64	KS-CS215A	CAJA ACTIVA DOBLE KS-SERIE 15 4000W - NETO	3	448.49	201	_SYS00000005053	1345.47
2	65	VANTEC-215A	CAJA ACTIVA DOBLE VANTEC-SERIE 15 PULG. 2250W	2	880.79	201	_SYS00000005053	1761.58
2	66	FORZA15A (UL)	CAJA ACTIVA FORZA-SERIE 15 1660W 128dB - NETO	5	192.58	201	_SYS00000005053	962.90
2	67	VANTEC-12A	CAJA ACTIVA VANTEC-SERIE 12 PULG. 1500W	3	604.40	201	_SYS00000005053	1813.20
2	68	VANTEC-15A	CAJA ACTIVA VANTEC-SERIE 15 PULG. 1500W	4	682.05	201	_SYS00000005053	2728.20
2	69	X15A-MP	CAJA ACTIVA X-SERIE 15 800W USB - Oferta	5	156.05	201	_SYS00000005053	780.25
2	70	DELTA15	CAJA AMPLIF. 15 40000W C/PED/MIC/LED	27	61.97	201	_SYS00000005053	1673.19
2	71	SIGMA156Y	CAJA AMPLIF. 15 50000W AMARILLA C/LUZ LED	1	72.71	201	_SYS00000005053	72.71
2	72	SIGMA156BL REMATE	CAJA AMPLIF. 15 50000W AZUL - REMATE	1	72.53	201	_SYS00000005053	72.53
2	73	SIGMA156BL	CAJA AMPLIF. 15 50000W AZUL C/LUZ LED	16	72.67	201	_SYS00000005053	1162.72
2	74	AX-SPA156B	CAJA AMPLIF. 15 50000W C/PEDESTAL/NEGRO - Oferta	1	89.46	201	_SYS00000005053	89.46
2	75	AX-SPA156G	CAJA AMPLIF. 15 50000W C/PEDESTAL/VERDE - Oferta	1	69.46	201	_SYS00000005053	69.46
2	76	SIGMA156B	CAJA AMPLIF. 15 50000W NEGRA C/LUZ LED	35	67.51	201	_SYS00000005053	2362.85
2	77	SIGMA156R	CAJA AMPLIF. 15 50000W ROJA C/LUZ LED	18	72.99	201	_SYS00000005053	1313.82
2	78	SIGMA156R LIQUIDACION	CAJA AMPLIF. 15 50000W ROJA C/LUZ LED - LIQUIDACION	1	72.37	201	_SYS00000005053	72.37
2	79	SIGMA156G	CAJA AMPLIF. 15 50000W VERDE C/LUZ LED	1	73.72	201	_SYS00000005053	73.72
2	80	ALFA15	CAJA AMPLIF. 15 65000W C/PED/MIC/LED NEGRO - Oferta	3	82.47	201	_SYS00000005053	247.41
2	81	OMEGA2156	CAJA AMPLIF. DOBLE 15 100.000W C/LUZ LED	17	106.36	201	_SYS00000005053	1808.12
2	82	IMPACT TWO	CAJA AMPLIF. DOBLE 15 75000W C/LUZ LED	9	85.93	201	_SYS00000005053	773.37
2	83	KR-X10D	CAJA AMPLIF. PORTATIL 10 20000W C/LED/1 MIC - Oferta	1	31.95	201	_SYS00000005053	31.95
2	84	AX-SPA1006BR	CAJA AMPLIF. PORTATIL 10 20000W C/REC/1 MIC. - Oferta	4	59.30	201	_SYS00000005053	237.20
2	85	AX-DJ10	CAJA AMPLIF. PORTATIL 10 30000W C/1 MIC UHF - Oferta	5	76.77	201	_SYS00000005053	383.85
2	86	AX-SPA1504R	CAJA AMPLIF. PORTATIL 15 50000W C/REC/2 MIC. - Oferta	7	109.91	201	_SYS00000005053	769.37
2	87	AX-51BL	CAJA AMPLIF. PORTATIL 5 600W C/1 MIC AZUL - Oferta	3	24.18	201	_SYS00000005053	72.54
