ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
HCAJ1AWA NT	0	PE00000016
MCAJ100BK-MA	0	PE00000016
HCAJ2AMTS	0	PE00000016
HCAJ2ATS	0	PE00000016
HCAJ2RTS	0	PE00000016
MYO-CAJ	0	PE00000016
MYO-CAJ-OV	0	PE00000016
SC80AB	0	PE00000016
SC80HA	0	PE00000016
SC80DE	0	PE00000016
CAJ3MB-M	0	PE00000016
CAJ3MB-M REMATE	0	PE00000016
SUBCAJ1AWA	0	PE00000016
SUBCAJ5WN	0	PE00000016
SUBCAJ5WN REMATE	0	PE00000016
CAJ2GO-2	0	PE00000016
CAJ-PAD	0	PE00000016
CAJ2GO-1	0	PE00000016
TOPCAJ1MB	0	PE00000016
TOPCAJ2WN	0	PE00000016
REP-HEATER-QF-M9	0	PE00000009
REP-CALENT-F1500	0	PE00000009
HV-C3BK OF	0	PE00000017
HV- N601	0	PE00000017
ECO-W811	0	PE00000017
HV-N5082	0	PE00000017
STB45H	0	PE00000016
STB45L	0	PE00000016
STB45L-CH	0	PE00000016
STB45M	0	PE00000016
HCO4BK	0	PE00000016
STB55	0	PE00000016
STB55-CH	0	PE00000016
SL525-BK	0	PE00000016
LCOC-6B BK	0	PE00000014
STB625	0	PE00000016
STB625-CH	0	PE00000016
STB625HH-G	0	PE00000016
KA625	0	PE00000016
STB625HH-C	0	PE00000016
STB625HH-S	0	PE00000016
SL675-BK	0	PE00000016
LC-7	0	PE00000014
STB80B	0	PE00000016
STB80B-CH	0	PE00000016
STB80S	0	PE00000016
STB80S-CH	0	PE00000016
BCOB	0	PE00000016
STB80BHH-C	0	PE00000016
STB80BHH-G	0	PE00000016
HCO2BK	0	PE00000016
KA80S	0	PE00000016
RM80B	0	PE00000016
STB80BHH-S	0	PE00000016
SL850-BK	0	PE00000016
LCOC-9B	0	PE00000014
LCOC-6H CR	0	PE00000014
LCOC-6H BK	0	PE00000014
STB65H	0	PE00000016
STB815H	0	PE00000016
CAP-METAL	0	PE00000005
CM-5800	0	PE00000005
CM-9601A	0	PE00000005
MT-5110	0	PE00000001
ACAP-3500	0	PE00000006
ACAP-6000	0	PE00000006
DPF-6	0	PE00000027
A007D/SL-A	0	PE00000014
A007D/BK-A	0	PE00000014
TGC-220	0	PE00000014
MC-2 MUSEDO	0	PE00000024
MC-4 MUSEDO	0	PE00000024
A007D/SL-C	0	PE00000014
TGC-222	0	PE00000014
A007D/BK-C	0	PE00000014
LIC00009	0	P0910204650
LIC00005	0	P0910204650
REP-CAR-2156LED	0	PE00000005
REP-CAR-MX8	0	PE00000005
REP-CAR-1504B	0	PE00000009
REP-CAR-156B	0	PE00000005
REP-CAR-156W	0	PE00000005
REP-CAR-7812	0	PE00000025
REP-AD12V 1.5A	0	PE00000005
REP-AD12V 2A	0	PE00000005
REP-CAR-ALFA15	0	PE00000009
CC-109F-C	0	PE00000005
CC-125M-C	0	PE00000005
REP-CAR-GD014	0	PE00000005
PE-1502 OF	0	PE00000009
PE-1504	0	PE00000009
PE-156	0	PE00000009
PX-156N	0	PE00000005
PX-156BL	0	PE00000005
PX-156G	0	PE00000005
PX-156R	0	PE00000005
PX-156Y	0	PE00000005
REP-CAR-SP1204	0	PE00000005
C9304	0	PE00000005
8152-1B	0	PE00000019
LLD-506	0	PE00000004
8174-1B	0	PE00000019
LLD522	0	PE00000004
LLD-511A	0	PE00000004
AD-517	0	PE00000005
LLD-517	0	PE00000004
BC-020	0	PE00000004
HV-PB126BL	0	PE00000017
HV-PB126PR	0	PE00000017
HV-PB004X-BK	0	PE00000017
HV-PB004X-PK	0	PE00000017
HV-PB004X-GN	0	PE00000017
HV-PB116BL	0	PE00000017
HV-PB116PK	0	PE00000017
HV-PB116GN	0	PE00000017
HV-PB112	0	PE00000017
HV-PB003X-BK	0	PE00000017
HV-PB115	0	PE00000017
PL-EVENT208S	0	PE00000038
PL-EVENT218S	0	PE00000038
AX-CASE230	0	PE00000030
AX-CASE350	0	PE00000029
I50B125	0	PE00000001
I50B140	0	PE00000001
6PK-356NA-40	0	PE00000001
8PK-S118A	0	PE00000001
8PK-S118A-40	0	PE00000001
TS-030	0	PE00000005
TS-040	0	PE00000005
TS-060	0	PE00000005
TS-080	0	PE00000005
8PK-S120NAD-30	0	PE00000001
8PK-S120NAD-40	0	PE00000001
8PK-S120NAD-60	0	PE00000001
ZD-30B 30W	0	PE00000005
ZD-30B 40W	0	PE00000005
ZD-30B 60W	0	PE00000005
ZD-200B 30W	0	PE00000005
ZD-200B 40W	0	PE00000005
ZD-200B 60W	0	PE00000005
TS-042	0	PE00000036
TS-043	0	PE00000005
TS-044	0	PE00000005
KD-017 30W	0	PE00000005
KD-017 40W	0	PE00000005
TS-047	0	PE00000036
CD4001 CLD	0	PE00000056
CD4007 CLD	0	PE00000056
CD4008 CLD	0	PE00000056
CD40106 CLD	0	PE00000056
CD4011 CLD	0	PE00000056
CD4013 CLD	0	PE00000056
CD4015 CLD	0	PE00000056
CD4016	0	PE00000056
CD4017 CLD	0	PE00000056
CD4018	0	PE00000056
CD4021 CLD	0	PE00000056
CD4026 CLD	0	PE00000056
CD4027 CLD	0	PE00000056
CD4028 CLD	0	PE00000056
CD4040 CLD	0	PE00000056
CD4044	0	PE00000056
CD4046	0	PE00000056
CD4047	0	PE00000056
CD4049 CLD	0	PE00000056
CD4052 CLD	0	PE00000056
CD4053	0	PE00000056
CD4066 CLD	0	PE00000056
CD4069 CLD	0	PE00000056
CD4071	0	PE00000056
CD4071 CLD	0	PE00000056
CD4075	0	PE00000056
CD4077 CLD	0	PE00000056
CD4081 CLD	0	PE00000056
CD4082 CLD	0	PE00000056
CD4093 CLD	0	PE00000056
CD4094 CLD	0	PE00000056
CD4555 CLD	0	PE00000056
CD5401	0	PE00000056
MS-023 OF	0	PE00000014
NC-01C	0	PE00000015
MS-007M	0	PE00000015
NU001	0	PE00000015
NU003	0	PE00000015
NU002	0	PE00000015
NU004	0	PE00000015
NU009	0	PE00000015
NU005 OF	0	PE00000014
NU010 OF	0	PE00000014
NU006 OF	0	PE00000014
NU011 OF	0	PE00000014
HY1.2331	0	PE00000005
RC-CAR2M	0	PE00000005
RC-CAR4M	0	PE00000005
REP-PC-CAR4M	0	PE00000005
REP-7294	0	PE00000005
1420F	0	PE00000014
B1.25-13300 OF	0	PE00000005
B1-16220 OF	0	PE00000005
B1-16220R	0	PE00000005
B1-16250 OF	0	PE00000005
B1-1671 OF	0	PE00000005
B1.25-20230 OF	0	PE00000005
B1.25-2041 OF	0	PE00000005
B0.5-24210 OF	0	PE00000005
B1.25-5230	0	PE00000005
B1.25-6330	0	PE00000005
REP-KR4/6-AMP	0	PE00000025
REP-TDA8954J	0	PE00000012
CLAMP	0	PE00000016
MC-2	0	PE00000016
