ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
2SC5803	0	PE00000056
2SC5855	0	PE00000056
2SC5855 CLD	0	PE00000056
2SC5858 CLD	0	PE00000056
2SC5885 CLD	0	PE00000056
2SC5885	0	PE00000056
2SC5886 CLD	0	PE00000056
2SC5902 CLD	0	PE00000056
2SC5936 CLD	0	PE00000056
2SC6022 CLD	0	PE00000056
2SC6090 CLD	0	PE00000056
2SC6093 CLD	0	PE00000056
2SC6144 CLD	0	PE00000056
2SC681	0	PE00000056
2SC783	0	PE00000056
2SC828	0	PE00000056
2SC828 CLD	0	PE00000056
2SC829 CLD	0	PE00000056
2SC9012H	0	PE00000056
2SC9015 CLD	0	PE00000056
2SC9018	0	PE00000056
2SC930	0	PE00000056
2SC945 CLD	0	PE00000056
2SD1012 CLD	0	PE00000056
2SD1020	0	PE00000056
2SD1046 CLD	0	PE00000056
2SD1047 CLD	0	PE00000056
2SD1048	0	PE00000056
2SD1061	0	PE00000056
2SD1063	0	PE00000056
2SD1064	0	PE00000056
2SD1092 CLD	0	PE00000056
2SD1197	0	PE00000056
2SD1263	0	PE00000056
2SD1264	0	PE00000056
2SD1265	0	PE00000056
2SD1266	0	PE00000056
2SD1293	0	PE00000056
2SD1294 CLD	0	PE00000056
2SD1348	0	PE00000056
2SD1395	0	PE00000056
2SD1396 CLD	0	PE00000056
2SD1398	0	PE00000056
2SD1402 CLD	0	PE00000056
2SD1402 CLD-RMV	0	PE00000056
2SD1402 SEMI-CLD	0	PE00000056
2SD1403 CLD	0	PE00000056
2SD1406	0	PE00000056
2SD1409	0	PE00000056
2SD1426 CLD	0	PE00000056
2SD1427	0	PE00000056
2SD1428 TOSH	0	PE00000056
2SD1431	0	PE00000056
2SD1439	0	PE00000056
2SD1439 CLD	0	PE00000056
2SD1453 CLD	0	PE00000056
2SD1457	0	PE00000056
2SD1497 CLD	0	PE00000056
2SD1554 CLD	0	PE00000056
2SD1555 CLD	0	PE00000056
2SD1556 CLD	0	PE00000056
2SD1557 CLD	0	PE00000056
2SD1557 NEC	0	PE00000056
2SD156	0	PE00000056
2SD1577	0	PE00000056
2SD1585 CLD	0	PE00000056
2SD1616	0	PE00000056
2SD1649	0	PE00000056
2SD1650	0	PE00000056
2SD1651	0	PE00000056
2SD1651 CLD	0	PE00000056
2SD1710 CLD	0	PE00000056
2SD1711	0	PE00000056
2SD1761PI	0	PE00000056
2SD1778	0	PE00000056
2SD1789	0	PE00000056
2SD1825 CLD	0	PE00000056
2SD1830	0	PE00000056
2SD1843	0	PE00000056
2SD1847	0	PE00000056
2SD1858	0	PE00000056
2SD1876 CLD	0	PE00000056
2SD1877	0	PE00000056
2SD1877 CLD	0	PE00000056
2SD1878	0	PE00000056
2SD1878 CLD	0	PE00000056
2SD1879 CLD	0	PE00000056
2SD1880 CLD	0	PE00000056
2SD1881	0	PE00000056
2SD1881 CLD	0	PE00000056
2SD1886C CLD	0	PE00000056
2SD1887	0	PE00000056
2SD1887 CLD	0	PE00000056
2SD1889	0	PE00000056
2SD1910	0	PE00000056
2SD1911	0	PE00000056
2SD1944	0	PE00000056
2SD1959	0	PE00000056
2SD1994	0	PE00000056
2SD200	0	PE00000056
2SD2012 CLD	0	PE00000056
2SD2058 CLD	0	PE00000056
2SD2059 CLD	0	PE00000056
2SD2060	0	PE00000056
2SD2061 CLD	0	PE00000056
2SD2089	0	PE00000056
2SD2095	0	PE00000056
2SD2102 CLD	0	PE00000056
2SD2125	0	PE00000056
2SD2222	0	PE00000056
2SD2390	0	PE00000056
2SD2394 CLD	0	PE00000056
2SD2396 CLD	0	PE00000056
2SD2438	0	PE00000056
2SD2439 CLD	0	PE00000056
2SD2493 CLD	0	PE00000056
2SD2494 CLD	0	PE00000056
2SD2495 CLD SANK	0	PE00000056
2SD2498 CLD	0	PE00000056
2SD2499 CLD	0	PE00000056
2SD2525	0	PE00000056
2SD2539	0	PE00000056
2SD2539 CLD	0	PE00000056
2SD2553 CLD	0	PE00000056
2SD2560	0	PE00000056
2SD2578 CLD	0	PE00000056
2SD2580 CLD	0	PE00000056
2SD2581 CLD	0	PE00000056
2SD2586 CLD	0	PE00000056
2SD2599	0	PE00000056
2SD261	0	PE00000056
2SD2624 CLD	0	PE00000056
2SD2627	0	PE00000056
2SD2627 CLD	0	PE00000056
2SD2642 CLD	0	PE00000056
2SD2645 CLD	0	PE00000056
2SD2689 CLD	0	PE00000056
2SD288	0	PE00000056
2SD291	0	PE00000056
2SD313 CLD	0	PE00000056
2SD362 CLD	0	PE00000056
2SD401A CLD	0	PE00000056
2SD424 TOSH	0	PE00000056
2SD438	0	PE00000056
2SD468	0	PE00000056
2SD470 MATS	0	PE00000056
2SD471	0	PE00000056
2SD473	0	PE00000056
2SD5024 CLD	0	PE00000056
2SD5032 CLD	0	PE00000056
2SD5036 CLD	0	PE00000056
2SD5071	0	PE00000056
2SD5071 CLD	0	PE00000056
2SD5072	0	PE00000056
2SD5072 CLD	0	PE00000056
2SD525 TOSH	0	PE00000056
2SD533	0	PE00000056
2SD560	0	PE00000056
2SD5702 CLD	0	PE00000056
