ParentKey	LineNum	SourcePath	FileName	FileExtension	Override	FreeText
AbsoluteEntry	LineNum	srcPath	FileName	FileExt	Override	FreeText
823	0	\\192.168.10.27\Documentos_SAP\Anexos	LLAS05210C	jpg	Y	LLAS05210C OF
824	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-052SC	jpg	Y	AD-052SC
824	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-052SC(2)	jpg	Y	AD-052SC
825	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-052S	jpg	Y	AD-052S
825	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-052S(2)	jpg	Y	AD-052S
826	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-053S - (09-19)	jpg	Y	AD-053S
826	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-053S(1-2) - (09-19)	jpg	Y	AD-053S
826	2	\\192.168.10.27\Documentos_SAP\Anexos	AD-053S(1-3) - (09-19)	jpg	Y	AD-053S
826	3	\\192.168.10.27\Documentos_SAP\Anexos	AD-053S(6) - (09-19)	jpg	Y	AD-053S
827	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-061S	jpg	Y	AD-061S
827	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-061S(2)	jpg	Y	AD-061S
828	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-062S	jpg	Y	AD-062S
828	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-062S(2)	jpg	Y	AD-062S
829	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-912M(1) - (09-18)	jpg	Y	AD-912M
829	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-912M(2)	jpg	Y	AD-912M
830	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-912S - (02-20)	jpg	Y	AD-912S
830	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-912S(1-2) - (02-20)	jpg	Y	AD-912S
830	2	\\192.168.10.27\Documentos_SAP\Anexos	AD-912S(1-3) - (02-20)	jpg	Y	AD-912S
831	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-920INV - (10-18)	jpg	Y	AD-920INV
831	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-920INV(2) - (10-18)	jpg	Y	AD-920INV
833	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-810A	jpg	Y	AD-810A OF
834	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-818A	jpg	Y	AD-818A OF
835	0	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC01	jpg	Y	ADC-IPUC01 OF
836	0	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC05(3)_768x960	jpg	Y	ADC-IPUC05
836	1	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC05(4)_768x960	jpg	Y	ADC-IPUC05
836	2	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC05_960x768	jpg	Y	ADC-IPUC05
836	3	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC05(2)_768x960	jpg	Y	ADC-IPUC05
837	0	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC04 - (07-19)	jpg	Y	ADC-IPUC04
837	1	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC04(1-2) - (07-19)	jpg	Y	ADC-IPUC04
837	2	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC04(1-3) - (07-19)	jpg	Y	ADC-IPUC04
837	3	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC04(3) - (07-19)	jpg	Y	ADC-IPUC04
838	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1200F - (02-20)	jpg	Y	AD-1200F
838	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-1200F(1-2) - (02-20)	jpg	Y	AD-1200F
838	2	\\192.168.10.27\Documentos_SAP\Anexos	AD-1200F(1-3) - (02-20)	jpg	Y	AD-1200F
839	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1500 TECH	jpg	Y	AD-1500 TECH OF
