ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
15W-20 OHM CLA	1	1	
15W-4.7 OHM CLA	1	1	
15W-5 OHM	25	100	
15W-56 OHM	50	100	
15W-7.5 OHM	50	100	
15XL1400 OF	1	1	
1604AUP-U1 CLA	1	10	
1604C CLA	1	1	
1604G-S1 CLA	1	1	
16RB-100E	1	4	
16RB-ExMT	1	1	
17-2 OF	1	1	
17-3 OF	1	1	
1740	1	20	
17R8H-U1 CLA	1	1	
18 OF	1	1	
1800MF-200V PCB	1	1	
189 (LR1130) CLA	1	1	
18FH510 OF	1	1	
18G	1	1	
18L OF	1	1	
18LX	1	1	
18RB-100E	1	4	
18RB-300E	1	2	
18RB-ExMT	1	1	
1MF-100V	1000	1000	
1MF-160V	1	1000	
1MF-250V	1000	2500	
1MF-400V	500	500	
1MF-450V	1	500	
1MF-50V	1000	6000	
1MF-50V CLA	1	1	
1MF-63V	1000	1000	
1PK-036S	1	144	
1PK-037S	1	144	
1W-0.1 OHM MT	100	1000	
1W-0.22 OHM MT	1	100	
1W-0.33 OHM MT	1	500	
1W-0.47 OHM MT	1000	1500	
1W-1 OHM MT	1000	1000	
1W-10 OHM MT	1000	1300	
1W-100 OHM MT	1000	2000	
1W-10K MT	1	400	
1W-12 OHM MT	1	100	
1W-15 OHM MT	1	1000	
1W-15K MT	1	300	
1W-18 OHM MT	1	100	
1W-1K MT	1	800	
1W-2.2 OHM MT	100	1000	
1W-2.7 OHM MT	1	100	
1W-20 OHM MT	1	100	
1W-22 OHM MT	1	100	
1W-220 OHM MT	1	1000	
1W-3.3 OHM MT	1	100	
1W-33 OHM MT	1	500	
1W-330 OHM MT	1	100	
1W-4.7 OHM MT	1	1000	
1W-4.7K MT	1	100	
1W-47 OHM MT	1	1000	
1W-470 OHM MT	1	1000	
1W-5.6 OHM MT	1	100	
1W-6.8 OHM MT	1	100	
1W-68 OHM MT	1	100	
1W-8.2 OHM MT	1	100	
1W-82 OHM CLA	1	1	
2.2MF-100V	1	1000	
2.2MF-160V	1000	2000	
2.2MF-250V	500	5000	
2.2MF-400V	500	1000	
2.2MF-450V	500	500	
2.2MF-50V	1000	3000	
2.2MFD-250V	200	1200	
2.5MFD-250M (255K)	200	600	
20 OF	1	1	
2001 HI CLD	1	1	
2002	10	300	
2004	1	10	
2008	10	14	
2008A	10	56	
2032	10	100	
2034	1	10	
2036	1	10	
2085	1	10	
2086	1	10	
2087	1	10	
209	1	40	
20N60C3 CLA	1	1	
20N80 CLD	1	1	
20RB-100E	1	8	
20RB-300E	1	2	
20RB-ExMT	1	1	
20W-10 OHM	25	1000	
20W-12 OHM	50	125	
20W-15 OHM	25	1000	
20W-150 OHM	1	50	
20W-2.2 OHM	25	150	
20W-20 OHM	25	1000	
20W-20 OHM CLA	1	1	
20W-220 OHM	1	50	
20W-3.3 OHM	25	150	
20W-47 OHM	25	800	
20W-5 OHM	25	500	
20W-7.5 OHM	25	100	
20W-8.2 OHM	25	150	
210AAHC-U2 CLA	1	20	
210AAHCB-EU2 CLA	1	1	
21OF	1	1	
2200MF-100V PCB	100	300	
2200MF-16V	250	3000	
2200MF-16V CLA	1	1	
2200MF-25V	200	6000	
2200MF-35V	100	3000	
2200MF-50V	100	3000	
2200MF-63V PCB	120	500	
220DH-U2 CLA	1	12	
220MF-100V	200	500	
220MF-160V	100	1200	
220MF-16V	1000	4000	
220MF-200V	50	600	
220MF-200V PCB	100	100	
220MF-250V PCB	100	100	
220MF-25V	500	3000	
220MF-350V PCB OF	1	70	
220MF-35V	500	2500	
220MF-400V PCB	1	180	
220MF-450V PCB	80	80	
220MF-50V	250	4000	
220MF-63V	100	750	
221-42	1	1	
2226B	1	90	
2228BTR	1	90	
224J-100V (POL)	1	1000	
224J-250V (POL)	1000	1500	
22MF-100V	500	1500	
22MF-160V	250	1000	
22MF-16V	1000	1500	
22MF-200V	1	500	
22MF-250V	250	2500	
22MF-25V	1000	2000	
22MF-35V	1000	1000	
22MF-400V	200	800	
22MF-450V	200	6000	
22MF-50V	1000	4000	
22MM DRIVE	1	1	
22RB-100E	1	8	
22RB-300E	1	4	
22RB-ExMT	1	1	
23A-5B	20	200	
23AE-C5 CLA	1	1	
23AxUnd	1	1	
24AUP-U2 CLA	1	1	
24C01A CLD	1	1	
24C02 CLD	1	1	
24C04 CLD	1	50	
24C04 CLD CLA	1	1	
24C08 CLA	1	1	
24C08A CLD	1	50	
24C16 CLD	1	50	
24RB-300E	1	4	
24RB-ExMT	1	1	
2501	1	10	
2502	1	10	
2503	10	150	
2508	1	10	
250AAHC-U2	1	20	
2511	1	10	
2512	1	10	
2513	1	10	
2550	1	10	
2552	10	60	
2554	1	10	
2556	10	50	
2602A	1	70	
2604A	10	30	
2604B	10	10	
2608B	1	20	
2610B	1	30	
2611	1	30	
2613B	1	30	
2614B	1	30	
2670	1	30	
2670A	1	8	
2674	1	10	
2674A	1	10	
2678	1	15	
2678A	1	15	
270AAHC-U2	1	20	
27A-5B	20	200	
27AE-C5 CLA	1	1	
27AxUnd	1	1	
2802	1	10	
2830	1	10	
2832	1	10	
2L CLD	1	1	
2MFD-250V	200	700	
2N1711 CLD	1	1	
2N2222 CLA	1	1	
2N2222 CLD	1	2000	
2N2647 CLA	1	1	
2N2904	1	1	
2N3055 FIN TOSH	1	1	
2N3055 GRU	1	1	
2N3055 ST CLD	1	25	
2N3771 CLD	1	1	
2N3771 MOROCCO	1	1	
2N3772 FIN TOSH	1	1	
2N3772 GRU TOSH	1	1	
2N3773 CLD ON	1	1	
2N3773 CLD SGS	1	1	
2N3773 CLD ST	1	1	
2N3773 FIN TOSH	1	1	
2N3773 GRU	1	1	
2N3904 CLA	1	1	
2N3904 CLD	1	2000	
2N3906 CLA	1	1	
2N3906 CLD	1	1	
2N5064	1	1	
2N5401 CLA	1	1	
2N5401 CLD	1	2000	
2N5551	1	1	
2N5551 CLA	1	1	
2N5551 CLD	1	2000	
2N5770	1	1	
2N5884	1	1	
2N6284	1	1	
2SA1011E	1	1	
2SA1012Y	1	1	
2SA1013 CLA	1	1	
2SA1013 CLD	1	1	
2SA1015 CLD	1	25	
2SA1020 CLD	1	1	
2SA1046 CLD	1	1	
2SA104B	1	1	
2SA1075	1	1	
2SA1123	1	1	
2SA114	1	1	
2SA1146	1	1	
2SA1162	1	1	
2SA1169	1	1	
2SA1170 CLA	1	1	
2SA1216	1	1	
2SA1220	1	1	
2SA124	1	1	
2SA1249	1	1	
2SA1263	1	1	
2SA1264	1	1	
2SA1265	1	1	
2SA1266Y CLA	1	1	
2SA1270 CLD	1	1	
2SA1273 CLD	1	1	
2SA1294 CLD	1	1	
2SA1295 CLD	1	1	
2SA1300GR	1	1	
2SA1301 CLD	1	1	
2SA1302 CLD	1	1	
2SA1302 TOSH	1	1	
2SA1306 CLD	1	1	
2SA1307	1	1	
2SA1309	1	1	
2SA1345	1	1	
2SA1357	1	1	
2SA1359 CLA	1	1	
2SA1360 CLA	1	1	
2SA1370E	1	1	
2SA144	1	1	
2SA1492 CLD	1	1	
2SA1494 CLD	1	1	
2SA1516	1	1	
2SA1598	1	1	
2SA1625	1	1	
2SA1633	1	1	
2SA1667	1	1	
2SA1668 CLD	1	1	
2SA1694 CLD	1	1	
