ItemCode	PurchasePackagingUnit	SalesUnit
2SC3280 CLD	UNIDAD	UNIDAD
2SC3280 CLD-RMV	UNIDAD	UNIDAD
2SC3281	UNIDAD	UNIDAD
2SC3281 CLD	UNIDAD	UNIDAD
2SC3300	UNIDAD	UNIDAD
2SC3311	UNIDAD	UNIDAD
2SC3320 CLD	UNIDAD	UNIDAD
2SC3400	UNIDAD	UNIDAD
2SC3402	UNIDAD	UNIDAD
2SC3409	UNIDAD	UNIDAD
2SC3419	UNIDAD	UNIDAD
2SC3420 TOSH	UNIDAD	UNIDAD
2SC3451	UNIDAD	UNIDAD
2SC3457	UNIDAD	UNIDAD
2SC3502	UNIDAD	UNIDAD
2SC3623	UNIDAD	UNIDAD
2SC3666	UNIDAD	UNIDAD
2SC3679	UNIDAD	UNIDAD
2SC3795	UNIDAD	UNIDAD
2SC3807 CLD	UNIDAD	UNIDAD
2SC3852 CLD	UNIDAD	UNIDAD
2SC3856 CLD	UNIDAD	UNIDAD
2SC3858 CLD	UNIDAD	UNIDAD
2SC3895	UNIDAD	UNIDAD
2SC3953	UNIDAD	UNIDAD
2SC4056 CLD	UNIDAD	UNIDAD
2SC4064 CLD	UNIDAD	UNIDAD
2SC4108	UNIDAD	UNIDAD
2SC4123	UNIDAD	UNIDAD
2SC4130	UNIDAD	UNIDAD
2SC4130 CLD	UNIDAD	UNIDAD
2SC4137	UNIDAD	UNIDAD
2SC4158	UNIDAD	UNIDAD
2SC4159 CLD	UNIDAD	UNIDAD
2SC4204	UNIDAD	UNIDAD
2SC4237 CLD	UNIDAD	UNIDAD
2SC4242	UNIDAD	UNIDAD
2SC4273	UNIDAD	UNIDAD
2SC4370A CLD	UNIDAD	UNIDAD
2SC4381	UNIDAD	UNIDAD
2SC4382 CLD	UNIDAD	UNIDAD
2SC4418 CLD	UNIDAD	UNIDAD
2SC4419	UNIDAD	UNIDAD
2SC4423 CLD	UNIDAD	UNIDAD
2SC4424 CLD	UNIDAD	UNIDAD
2SC4426	UNIDAD	UNIDAD
2SC4429L CLD	UNIDAD	UNIDAD
