ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
ItemCode	InventoryWeight1	InventoryWeightUnit1	SWeight1	SWght1Unit	BWeight1	BWght1Unit
2SC1846	0.02	KG	0.02	KG	0.02	KG
2SC1875	0.02	KG	0.02	KG	0.02	KG
2SC1890	0.02	KG	0.02	KG	0.02	KG
2SC1906	0.02	KG	0.02	KG	0.02	KG
2SC1923	0.02	KG	0.02	KG	0.02	KG
2SC1941 CLD	0.02	KG	0.02	KG	0.02	KG
2SC1942	0.02	KG	0.02	KG	0.02	KG
2SC1971	0.02	KG	0.02	KG	0.02	KG
2SC1985	0.02	KG	0.02	KG	0.02	KG
2SC2001	0.02	KG	0.02	KG	0.02	KG
2SC2026 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2026K CLD	0.02	KG	0.02	KG	0.02	KG
2SC2073 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2092	0.02	KG	0.02	KG	0.02	KG
2SC2120	0.02	KG	0.02	KG	0.02	KG
2SC2230 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2233	0.02	KG	0.02	KG	0.02	KG
2SC2233 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2330 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2331	0.02	KG	0.02	KG	0.02	KG
2SC2365	0.02	KG	0.02	KG	0.02	KG
2SC2383 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2458	0.02	KG	0.02	KG	0.02	KG
2SC2482 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2500 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2570	0.02	KG	0.02	KG	0.02	KG
2SC2578 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2580 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2581 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2581 SEMI-CLD	0.02	KG	0.02	KG	0.02	KG
2SC2611 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2655Y CLD	0.02	KG	0.02	KG	0.02	KG
2SC2688 CLD	0.02	KG	0.02	KG	0.02	KG
2SC2752	0.02	KG	0.02	KG	0.02	KG
2SC2898	0.02	KG	0.02	KG	0.02	KG
2SC2921	0.02	KG	0.02	KG	0.02	KG
2SC3039 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3153 CLD	0.02	KG	0.02	KG	0.02	KG
